t0;t1;weight
0;1800;1.09186
1800;3600;2.02418
3600;5400;3.47430
5400;7200;5.54533
7200;9000;8.79005
9000;10800;16.93943
10800;12600;31.35420
12600;14400;33.68929
14400;16200;23.48816
16200;18000;18.34026
18000;19800;16.53450
19800;21600;14.47738
21600;23400;12.14480
23400;25200;10.14204
25200;27000;8.99370
27000;28800;8.99489
28800;30600;10.14723
30600;32400;12.16043
32400;34200;14.51976
34200;36000;16.61645
36000;37800;17.92047
37800;39600;18.14853
39600;41400;17.36408
41400;43200;15.96131
43200;45000;14.52851
45000;46800;13.63751
46800;48600;13.63716
48600;50400;14.52720
50400;52200;15.98191
52200;54000;18.02023
54000;55800;23.99065
55800;57600;35.22969
57600;59400;33.78148
59400;61200;19.85939
61200;63000;11.74040
63000;64800;8.14897
64800;66600;5.52130
66600;68400;3.47442
68400;70200;2.02431
70200;72000;1.09189
72000;73800;0.54523
73800;75600;0.25204
75600;77400;0.10786
77400;79200;0.04273
79200;81000;0.01567
81000;82800;0.00532
82800;84600;0.00167
